;nom corto ;nom largo ;detalle;fam;clase;;
5923;ESTANTE POLITORNO RIO 170643;ESTANTE POLITORNO RIO 170643 TABACO (TV55) C/ PUERTA MDP;Estante Politorno Rio 170643 Tabaco (Tv55) C/ Puerta Mdp;2;2003;1000000;1400000
11383;EXHIBIDORA UGUR  P/HELADO ;EXHIBIDORA UGUR  P/ HELADO UDD500SCN  V/R 500LTS-HORIZONTAL TERM. ANALOGO;Exhibidora Ugur  P/ Helado Udd500Scn  V/R 500Lts-Horizontal Term. Analogo;5;5004;3750000;5250000
11388;EXHIBIDORA UGUR 771L ;EXHIBIDORA UGUR 2P USS1000DSCL 771L LUZ LED PUERTA DESLIZABLE IND.TEMP.ANALOGO;Exhibidora Ugur 2P Uss1000Dscl 771L Luz Led Puerta Deslizable Ind.Temp.Analogo;5;5004;7800000;10920000
11391;HORNO JAM EMPOTRABLE 60I INOX ;HORNO JAM EMPOTRABLE BO-60IX INOX TEMP 240 C. TIMER 90 MIN. 5 FUNC. C/ BANDEJA;Horno Jam Empotrable Bo-60Ix Inox Temp 240 c. Timer 90 Min. 5 Func. C/ Bandeja;15;15002;1470000;2058000
11392;HORNO JAM EMPOTRABLE 60L NG ;HORNO JAM EMPOTRABLE BO-60NG NEGRO TEMP 250 C. TIMER 90 MIN. 9 FUNC. C/ BANDEJA;Horno Jam Empotrable Bo-60Ng Negro Temp 250 c. Timer 90 Min. 9 Func. C/ Bandeja;15;15002;1570000;2198000
11393;PLANCHA JAM A VAPOR VERTICAL ;PLANCHA JAM A VAPOR VERTICAL MY-GJ15B3W;Plancha Jam A Vapor Vertical My-Gj15B3W;13;13003;330000;462000
160618;ESTANTE POLITORNO VOGUE TV 42;ESTANTE POLITORNO VOGUE 160201 TV 42 - TABACO;Estante Politorno Vogue 160201 Tv 42 - Tabaco;2;2003;550000;770000
11398;EXPRIMIDOR DE CITRICOS OSTER ;EXPRIMIDOR DE CITRICOS OSTER FPSTJU4175-051 JARRA 500ML 75 W DE POTENCIA;Exprimidor De Citricos Oster Fpstju4175-051 Jarra 500Ml 75 W De Potencia;1;1006;351000;492000
11414;SPLIT  JAM 36.000BTU F/C  ECO;AIRE ACONDICIONADOR JAM 36.000BTU F/C JF-36CHRN1 DESC.HORIZ. 220V/50HZ- R410A ECO;Aire Acondicionador Jam 36.000Btu F/C Jf-36Chrn1 Desc.Horiz. 220V/50Hz- R410A Eco;25;25004;6200000;8680000
11429;"TV JAM SMART 32"" ";TV JAM SMART 32 MOD-JA32HD2000S HDHDMI USB ULTRA SLIM;Tv Jam Smart 32 Mod-Ja32Hd2000S Hdhdmi Usb Ultra Slim;9;9001;1280000;1792000
11440;CAMA CUNA POLITORNO ;CAMA CUNA POLITORNO MADRI FUNCIONAL + CAMA AUXILIAR BLANCA 200077 C/ COMODA;Cama Cuna Politorno Madri Funcional + Cama Auxiliar Blanca 200077 C/ Comoda;2;2003;950000;1330000
11448;HERVIDOR DE AGUA OSTER  1,7L;HERVIDOR DE AGUA OSTER BVSTKT8970-057-1 SELECTOR 70  A 100  17LTS INOX;Hervidor De Agua Oster Bvstkt8970-057-1 Selector 70  A 100  17Lts Inox;1;1011;451000;632000
11461;HORNO ELECTRICO JAM 50L TIMER ;HORNO ELECTRICO JAM 50 LTS DN50E-RML C/ LUZ INTERNA SPIEDO TIMER 120MIN 2200W;Horno Electrico Jam 50 Lts Dn50E-Rml C/ Luz Interna Spiedo Timer 120Min 2200W;15;15002;650000;910000
11462;HORNO ELECTRICO JAM 60 LTIMER ;HORNO ELECTRICO JAM 60 LTS DN60E-RML C/ LUZ INTERNA SPIEDO TIMER 120MIN 2200W;Horno Electrico Jam 60 Lts Dn60E-Rml C/ Luz Interna Spiedo Timer 120Min 2200W;15;15002;750000;1050000
11466;COCINA  A GAS JAM EVA  5H ;COCINA A GAS JAM EVA TOP GLASS 5HB NEGRO CON LUZ EN EL HORNO;Cocina A Gas Jam Eva Top Glass 5Hb Negro Con Luz En El Horno;15;15006;1300000;1820000
11529;"VENTILADOR DE PIE JAM 30"" ";VENTILADOR INDUSTRIAL DE PIE JAM JM130 4CUCHIL/NEGRO30 BASE RED. 250W 220V/50HZ;Ventilador Industrial De Pie Jam Jm130 4Cuchil/Negro30 Base Red. 250W 220V/50Hz;25;25002;420000;588000
11532;"VENTILADOR  DE PARED JAM 30"" ";VENTILADOR INDUSTRIAL DE PARED JAM JM130C 4 CUCHIL/NEGRO 30 C/ CONTROL 250W;Ventilador Industrial De Pared Jam Jm130C 4 Cuchil/Negro 30 C/ Control 250W;25;25002;475000;665000
11904;FREIDORA OSTER OFRT950 220;FREIDORA OSTER OFRT950-220 CONTROL DIGITAL PANEL TACTIL 33LT 8 FUNCIONES 1300W;Freidora Oster Ofrt950-220 Control Digital Panel Tactil 33Lt 8 Funciones 1300W;1;1002;887000;1242000
7978;HELADERA BRIKET BK 1211 290L;HELADERA BRIKET BK 1211 290LTS. 1PTA.;Heladera Briket Bk 1211 290Lts. 1Pta.;5;5001;1795000;2513000
11814;HERVIDOR ELECT 17 LTS OSTER;HERVIDOR ELECTRICO 17 LTS OSTER BVSTKT3100-053;Hervidor Electrico 17 Lts Oster Bvstkt3100-053;5;5001;161000;226000
11867;HERVIDORA OSTER 1.7 LTS 1850;HERVIDORA OSTER 1.7 LTS 1850 WTS OCEL500-220;Hervidora Oster 1.7 Lts 1850 Wts Ocel500-220;5;5001;319000;447000
11580;TV JAM ISDB-T SMART 32;TV JAM ISDB-T SMART 32 MOD SK32E10 RESOLUCION HD:1.366X768P  SISTEMA OP.LINUX;Tv Jam Isdb-T Smart 32 Mod Sk32E10 Resolucion Hd:1.366X768P  Sistema Op.Linux;9;9001;1280000;1792000
11600;SPLIT  JAM 12.000BTU ECO;AIRE ACONDICIONADOR JAM 12.000BTU F/C JF-12CHRN1 DESC.HORIZ. 220V/50HZ- R410A ECO;Aire Acondicionador Jam 12.000Btu F/C Jf-12Chrn1 Desc.Horiz. 220V/50Hz- R410A Eco;25;25004;1870000;2618000
11610;SPLIT  JAM 18.000BTU F/C  ECO;AIRE ACONDICIONADOR JAM 18.000BTU F/C JF-18CHRN1 DESC.HORIZ. 220V/50HZ- R410A ECO;Aire Acondicionador Jam 18.000Btu F/C Jf-18Chrn1 Desc.Horiz. 220V/50Hz- R410A Eco;25;25004;2870000;4018000
11611;SPLIT  JAM 24.000BTU F/C  ECO;AIRE ACONDICIONADOR JAM 24.000BTU F/C JF-24CHRN1 DESC.HORIZ. 220V/50HZ- R410A ECO;Aire Acondicionador Jam 24.000Btu F/C Jf-24Chrn1 Desc.Horiz. 220V/50Hz- R410A Eco;25;25004;4000000;5600000
11613;SPLIT  JAM 60.000BTU F/C ECO;AIRE ACONDICIONADOR JAM 60.000BTU F/C JF-60HRN1 DESC. HORIZ. 380V/50HZ- R410A ECO;Aire Acondicionador Jam 60.000Btu F/C Jf-60Hrn1 Desc. Horiz. 380V/50Hz- R410A Eco;25;25004;8970000;12558000
11642;HORNO ELECT JAM SIRIUS 70L;HORNO ELECTRICO JAM SIRIUS 70L.PANEL COLOR INOX HE-70IX.120M.300 C.1800W;Horno Electrico Jam Sirius 70L.Panel Color Inox He-70Ix.120M.300 c.1800W;15;15002;870000;1218000
11628;TV JAM ISDB-T LED 32;TV JAM ISDB-T LED 32 MOD SK32WH3 RESOLUCION HD:1.366X768P;Tv Jam Isdb-T Led 32 Mod Sk32Wh3 Resolucion Hd:1.366X768P;9;9001;1000000;1400000
11543;HORNO ELECT OSTER TASTE 230C;HORNO ELECTRICO OSTER GRAN TASTE TSSTTV15LTB-057-1 TEMP 230 C TIMER 60MIN;Horno Electrico Oster Gran Taste Tssttv15Ltb-057-1 Temp 230 c Timer 60Min;15;15002;536000;751000
11880;HORNO ELECTRICO JAM 42LTS;HORNO ELECTRICO JAM 42LTS DN42E-RML LUZ INT SPIEDO TIMER 120M 2000W*;Horno Electrico Jam 42Lts Dn42E-Rml Luz Int Spiedo Timer 120M 2000W*;15;15002;470000;658000
11751;BIBLIOTECA  POLITORNO ;BIBLIOTECA  POLITORNO CON PUERTAS 200076- CASTANHO 2 PUERTAS 3 COMPARTIMIENTOS;Biblioteca  Politorno Con Puertas 200076- Castanho 2 Puertas 3 Compartimientos;2;2004;470000;658000
11892;HORNO ELECTRICO JAM SIRIUS 45L;HORNO ELECTRICO JAM SIRIUS 45L HE-45NG 120M 300C 1400W 220/240V/50HZ TC;Horno Electrico Jam Sirius 45L He-45Ng 120M 300c 1400W 220/240V/50Hz Tc Color Disponible Negro Rojo Blanco ;15;15002;600000;840000
11866;HORNO ELECTRICO OSTER 30 LTS;HORNO ELECTRICO OSTER 30 LTS C/ TIMER TSSTTV7030-053 C/4 FUNCIONES;Horno Electrico Oster 30 Lts C/ Timer Tssttv7030-053 C/4 Funciones;15;15002;770000;1078000
