Codigo Proveedor ;Nombre ;Descripcion Larga;Detalle ;Familia;Clase ;Costo ;Precio Lista
11701;"Tv Jam Smart 4K  65"" ";"Tv Jam Smart 4K  65"" Ja65Uhd202 Uhd 3840X2160 Hdmix3 Usbx1 Ultra Slim";"Tv Jam Smart 4K  65"" Ja65Uhd202 Uhd 3840X2160 Hdmix3 Usbx1 Ultra Slim";9;9001;4.300.000;6.020.000
10489;"Ventilador De Pared Jam 18"" ";"Ventilador De Pared Jam Fw-18  75W 18"" Negro Con Control";"Ventilador De Pared Jam Fw-18  75W 18"" Negro Con Control";25;25002;240.000;336.000
5203;Ventilador De Pie Jam  20'' ;Ventilador De Pie Jam Fst-50 20'' 5 Aspas Base Redonda;Ventilador De Pie Jam Fst-50 20'' 5 Aspas Base Redonda;25;25002;240.000;336.000
4684;Ventilador De Techo Jam 3Alas ;"Ventilador De Techo Jam Tcf-604 Motor Pesado 3 Alas 5Vel. 80W Blanco 56""";"Ventilador De Techo Jam Tcf-604 Motor Pesado 3 Alas 5Vel. 80W Blanco 56""";25;25002;170.000;238.000
11532;"Ventilador  De Pared Jam 30"" ";"Ventilador Industrial De Pared Jam Jm130C 4 Cuchil/Negro 30"" C/ Control 250W";"Ventilador Industrial De Pared Jam Jm130C 4 Cuchil/Negro 30"" C/ Control 250W";25;25002;475.000;665.000
11529;"Ventilador De Pie Jam 30"" ";"Ventilador Industrial De Pie Jam Jm130 4Cuchil/Negro30"" Base Red. 250W 220V/50Hz";"Ventilador Industrial De Pie Jam Jm130 4Cuchil/Negro30"" Base Red. 250W 220V/50Hz";25;25002;420.000;588.000
7125;Exhibidora Briket 500 L;Exhibidora Briket M5000 Bc-500 Lts R290;Exhibidora Briket M5000 Bc-500 Lts R290;5;5004;6.700.000;9.380.000
12252;Exhibidora Briket Luz Led.500L;Exhibidora Briket M5000 Led Perimetral 500Lts Ci Cont. Int R290;Exhibidora Briket M5000 Led Perimetral 500Lts Ci Cont. Int R290;5;5004;5.650.000;7.910.000
12253;Exhibidora Briket  500L;Exhibidora Briket M5000 Led Superior Ci- 500Lts R290;Exhibidora Briket M5000 Led Superior Ci- 500Lts R290;5;5004;5.000.000;7.000.000
2653;Ventilador De Techo Wahson ;"Ventilador De Techo Wahson 220V 50Hz ""Art.No.Sh56B1 56""";"Ventilador De Techo Wahson 220V 50Hz ""Art.No.Sh56B1 56""";25;25002;365.000;511.000
10517;Conservadora P/ Hielo Frider ;Conservadora Para Hielo Frider Mod Hph 700  o 900 Equipada S/ Indicador De Temperatura;Conservadora Para Hielo Frider Mod Hph 700 Equipada S/ Indicador De Temperatura;5;5006;7.150.000;10.010.000
7985;Batea Frider  2.40M V/Bajo;Batea Frider Plastico 2.40M V/Bajo;Batea Frider Plastico 2.40M V/Bajo;5;5004;17.200.000;24.080.000
11139;Exhibidora Frider  870L 2P;Exhibidora Frider Vertical 2P Equipada C/ Combistato 870 Lts.;Exhibidora Frider Vertical 2P Equipada C/ Combistato 870 Lts.;5;5004;14.100.000;19.740.000
6995;Exhibidora Frider  1.350L 3P;Exhibidora Frider Vertical 3Ptas 1.350 Lts Semiequipada C/ Combistato;Exhibidora Frider Vertical 3Ptas 1.350 Lts Semiequipada C/ Combistato;5;5004;22.330.000;31.262.000
10367;Gondola Frider Para Verduras ;Gondola Frider Para Verduras 2.50M Semiequipada;Gondola Frider Para Verduras 2.50M Semiequipada;5;5004;24.900.000;34.860.000
7506;Gondola Frider P/Lacteos 1,30 ;Gondola Frider Para Lacteos 1,30 Equipada;Gondola Frider Para Lacteos 1,30 Equipada;5;5004;21.600.000;30.240.000
7996;Gondola Frider P/ Lacteos 2,50;Gondola Frider Para Lacteos 2.50M Semiequipada;Gondola Frider Para Lacteos 2.50M Semiequipada;5;5004;36.660.000;51.324.000
113;Conservadora Frare P/ Helado;Conservadora Frare Para Helado Fc 240T/Red. 510 Lts. P/ 12 Baldes, Tapas Redonda;Conservadora Frare Para Helado Fc 240T/Red. 510 Lts. P/ 12 Baldes, Tapas Redonda;5;5004;7.830.000;10.962.000
6089;Exhibidora Ugur  670L;Exhibidora  Abierta Ugur Umd 670 As Open Front Cooler 670Lts.;Exhibidora  Abierta Ugur Umd 670 As Open Front Cooler 670Lts.;5;5004;13.950.000;19.530.000
11383;Exhibidora Ugur  P/Helado ;Exhibidora Ugur  P/ Helado Udd500Scn  V/R 200 /500Lts-Horizontal Term. Análogo;Exhibidora Ugur  P/ Helado Udd500Scn  V/R 500Lts-Horizontal Term. Análogo;5;5004;3.750.000;5.250.000
11154;Exhibidora Ugur  1300L ;Exhibidora Ugur Uss 1500 D2K  Luz Led Temp. Media Ind. Digital 2 Puertas 1300Lts;Exhibidora Ugur Uss 1500 D2K  Luz Led Temp. Media Ind. Digital 2 Puertas 1300Lts;5;5004;11.500.000;16.100.000
11388;Exhibidora Ugur 771L ;Exhibidora Ugur 2P Uss1000Dscl 771L ,Luz Led Puerta Deslizable Ind.Temp.Análogo;Exhibidora Ugur 2P Uss1000Dscl 771L ,Luz Led Puerta Deslizable Ind.Temp.Análogo;5;5004;7.750.000;10.850.000
11636;Visicooler Ugur771L;Exhibidora Visicooler Ugur Uss 1000 D2Kl 771Lts Luz Led, 2 Puertas Batiente;Exhibidora Visicooler Ugur Uss 1000 D2Kl 771Lts Luz Led, 2 Puertas Batiente;5;5004;7.750.000;10.850.000
6092;Visicooler Ugur 1200L;Exhibidora Visicooler Ugur Uss 1500 Dik 3 Puertas 1200Lts.;Exhibidora Visicooler Ugur Uss 1500 Dik 3 Puertas 1200Lts.;5;5004;13.770.000;19.278.000
3008;Armario Politorno Tabaco;Armario Politorno Organizador Coimbra 2437 Colores Variados ;Armario Politorno Organizador Coimbra 2437 Tabaco;2;2010;650.000;910.000
10451;Armario Politorno  Alto Artico;Armario Politorno Organizador Limeira Alto 3265 Colores variados;Armario Politorno Organizador Limeira Alto 3265 Artico;2;2010;480.000;672.000
3981;Bar Politorno Andes  Imbuia;Bar Politorno Andes 2258 Imbuia;Bar Politorno Andes 2258 Imbuia;2;2010;615.000;861.000
3502;Bar Politorno Laguna Tabaco;Bar Politorno Laguna 2285 Tabaco;Bar Politorno Laguna 2285 Tabaco;2;2010;325.000;455.000
11751;Biblioteca  Politorno ;Biblioteca  Politorno Con Puertas 200076- Castaño 2 Puertas 3 Compartimientos;Biblioteca  Politorno Con Puertas 200076- Castaño 2 Puertas 3 Compartimientos;2;2009;350.000;490.000
4200;Biblioteca Politorno C/ Ptas ;Biblioteca Politorno Con Puertas 2115 - colores variados , 2 Puertas 3 Compartimientos;Biblioteca Politorno Con Puertas 2115 - Artico 2 Puertas 3 Compartimientos;2;2009;350.000;490.000
11440;Cama Cuna Politorno ;Cama Cuna Politorno Madri Funcional + Cama Auxiliar Blanca 200077 C/ Comoda;Cama Cuna Politorno Madri Funcional + Cama Auxiliar Blanca 200077 C/ Comoda;2;2003;950.000;1.330.000
10853;Cocina Compacta  Carolina ;Cocina Compacta Politorno Carolina 8 Puertas 180020 Blanco Con Bordo;Cocina Compacta Politorno Carolina 8 Puertas 180020 Blanco Con Bordo;2;2005;853.600;1.195.040
3115;Comoda Politorno 05 Cajones;Comoda Politorno 05 Cajones Blanco/Azul, colores variados ;Comoda Politorno 05 Cajones Blanco/Azul 2541;2;2010;430.000;602.000
3319;Cuna Politorno Bca;Cuna Politorno Blanca/Blanca 2542;Cuna Politorno Blanca/Blanca 2542;2;2003;440.000;616.000
3320;Cuna Politorno Orlando ;Cuna Politorno Orlando Blanco/Azul - Blanco/RosaUv 2542;Cuna Politorno Orlando Blanco/Azul Uv 2542;2;2003;440.000;616.000
10752;Estanteria Politorno Ouro ;Estanteria Politorno Ouro Preto 190284 Blanco (Patas De Metal);Estanteria Politorno Ouro Preto 190284 Blanco (Patas De Metal);2;2010;550.000;770.000
5918;Gabinete Politorno Maia ;Gabinete Politorno Maia 3 Cajones 2487 colores variados;Gabinete Politorno Maia 3 Cajones 2487 Turquesa;2;2010;350.000;490.000
5934;Gabinete Politorno Singolare ;Gabinete Politorno Singolare 2 Ptas 4 Cajones 1050Mm 160465 Blanco/Ciruela Negra;Gabinete Politorno Singolare 2 Ptas 4 Cajones 1050Mm 160465 Blanco/Ciruela Negra;2;2010;810.000;1.134.000
3036;Kit De Cocina Politorno 2P ;Kit De Cocina Politorno 2P 6007 Avellana;Kit De Cocina Politorno 2P 6007 Avellana;2;2005;500.000;700.000
30106;Kit Oficina Politorno Espanha ;Kit Oficina Politorno Espanha 1176 3 Cajones 2 Ptas Negro;Kit Oficina Politorno Espanha 1176 3 Cajones 2 Ptas Negro;2;2005;700.000;980.000
4265;Mesa De Planchar Politorno ;Mesa De Planchar Politorno Lucena 3482 Blanco C/ Soporte P/ Plancha;Mesa De Planchar Politorno Lucena 3482 Blanco C/ Soporte P/ Plancha;13;13004;230.000;322.000
