Codigo Proveedor ;Nombre ;Descripcionlarga;Descripcionlarga;Familia;Clase ;Costo ;Preciolista
DF35X;Heladera Electrolux  Seco 2P 261 L Ino;Heladera Electrolux  F/Seco 2 Puertas 261 Litros Ino;Heladera Electrolux  F/Seco 2 Puertas 261 Litros Ino;5;5001;3427001;4797801,4
DF36X;Heladera Electrolux  Seco 2P 261 L Ino;Heladera Electrolux  F/Seco 2 Puertas 261 Litros Ino;Heladera Electrolux  F/Seco 2 Puertas 261 Litros Ino;5;5001;3270000;4578000
ERTM45F5HPW;Heladera Electrolux  Hum. 2P C/Disp 311 L;Heladera Electrolux  F/Humedo 2 Puertas C/Disp 311 L;Heladera Electrolux  F/Humedo 2 Puertas C/Disp 311 L;5;5001;2838000;3973200
DC44;Heladera Electrolux  Hum. 2P 362 L Bla;Heladera Electrolux  F/Hum. 2 Puertas 362 Litros Bla;Heladera Electrolux  F/Hum. 2 Puertas 362 Litros Bla;5;5001;2909000;4072600
DC44G;Heladera Electrolux  Hum. 2P 362 L Gri;Heladera Electrolux  F/Hum. 2 Puertas 362 Litros Gri;Heladera Electrolux  F/Hum. 2 Puertas 362 Litros Gri;5;5001;2961000;4145400
DFN41;Heladera Electrolux  Seco 2P 371 L Bla;Heladera Electrolux  F/Seco 2 Puertas 371 Litros Bla;Heladera Electrolux  F/Seco 2 Puertas 371 Litros Bla;5;5001;3546000;4964400
DFX41;Heladera Electrolux  Seco 2P 371 L Ino;Heladera Electrolux  F/Seco 2 Puertas 371 Litros Ino;Heladera Electrolux  F/Seco 2 Puertas 371 Litros Ino;5;5001;3932000;5504800
DW42X;Heladera Electrolux  Seco 2P 380 L Ino;Heladera Electrolux  F/Seco 2 Puertas 380 Litros Ino;Heladera Electrolux  F/Seco 2 Puertas 380 Litros Ino;5;5001;4825000;6755000
DF42;Heladera Electrolux  Seco 2P 382 L Bla;Heladera Electrolux  F/Seco 2 Puertas 382 Litros Bla;Heladera Electrolux  F/Seco 2 Puertas 382 Litros Bla;5;5001;3788000;5303200
DW44S;Heladera Electrolux  2 Puertas 400 Litros;Heladera Electrolux  2 Puertas 400 Litros;Heladera Electrolux  2 Puertas 400 Litros;5;5001;5511000;7715400
IF55S;Heladera Electrolux  Seco 2P Inver 431L;Heladera Electrolux  F/Seco 2 Puertas Inver 431 Litr;Heladera Electrolux  F/Seco 2 Puertas Inver 431 Litr;5;5001;5121001;7169401,4
DB53X;Heladera Electrolux  Y Freezer 454L;Heladera Electrolux  F/Seco Freezer Abajo 454 Litros;Heladera Electrolux  F/Seco Freezer Abajo 454 Litros;5;5001;6077000;8507800
IB53X;Heladera Electrolux  Freezer Inver 454;Heladera Electrolux  F/Seco Freezer Abajo Inver 454;Heladera Electrolux  F/Seco Freezer Abajo Inver 454;5;5001;6386001;8940401,4
DWA51;Heladera Electrolux  Seco 2P 458 L Bla;Heladera Electrolux  F/Seco 2 Puertas 458 Litros Bla;Heladera Electrolux  F/Seco 2 Puertas 458 Litros Bla;5;5001;4922000;6890800
TF52X;Heladera Electrolux  Seco 2P 464 L Ino;Heladera Electrolux  F/Seco 2 Puertas 464 Litros Ino;Heladera Electrolux  F/Seco 2 Puertas 464 Litros Ino;5;5001;5352001;7492801,4
TF56S;Heladera Electrolux  2P 473L-Frio Seco-Gr;Heladera Electrolux  2 Puertas 473L-Frio Seco-Gris;Heladera Electrolux  2 Puertas 473L-Frio Seco-Gris;5;5001;5292000;7408800
ERSO52B5HQS;Heladera Electrolux  Seco Side 517L;Heladera Electrolux  F/Seco Side By Side Inver 517 L;Heladera Electrolux  F/Seco Side By Side Inver 517 L;5;5001;9557000;13379800
ERSB51J5MQS;Heladera Electrolux  Seco Side Inver C/Dis;Heladera Electrolux  F/Seco Side By Side Inver C/Dis;Heladera Electrolux  F/Seco Side By Side Inver C/Dis;5;5001;12910000;18074000
DF82X;Heladera Electrolux  Seco 2P 533L Ino;Heladera Electrolux  F/Seco 2 Puertas 533 Litros Ino;Heladera Electrolux  F/Seco 2 Puertas 533 Litros Ino;5;5001;7496000;10494400
DM84X;Heladera Electrolux  Seco Multidoor 579L;Heladera Electrolux  F/Seco Multidoor 579 Litros Ino;Heladera Electrolux  F/Seco Multidoor 579 Litros Ino;5;5001;9981000;13973400
DB83X;Heladera Electrolux /Freezer ;Heladera Electrolux /Freezer Abajo/Frío Seco/598 L;Heladera Electrolux /Freezer Abajo/Frío Seco/598 L;5;5001;8205000;11487000
DB84X;Heladera Electrolux  Seco Freezer Abajo;Heladera Electrolux  F/Seco Freezer Abajo 598 Litros;Heladera Electrolux  F/Seco Freezer Abajo 598 Litros;5;5001;8205000;11487000
DM85X;Heladera Electrolux  Seco Multidoor 538 L ;Heladera Electrolux  F/Seco Multidoor 538 Litros Ino;Heladera Electrolux  F/Seco Multidoor 538 Litros Ino;5;5001;13401000;18761400
DM90X;Heladera Electrolux  Seco Multidoor Inver ;Heladera Electrolux  F/Seco Multidoor Inver C/Disp 5;Heladera Electrolux  F/Seco Multidoor Inver C/Disp 5;5;5001;17683001;24756201,4
FE18;Congelador Electrolux  Vertical 145 Litros;Congelador Electrolux  Vertical 145 Litros;Congelador Electrolux  Vertical 145 Litros;5;5002;1996000;2794400
FE22;Congelador Electrolux  Vertical 173 Litros;Congelador Electrolux  Vertical 173 Litros;Congelador Electrolux  Vertical 173 Litros;5;5002;2046000;2864400
FE26;Congelador Electrolux  Vertical 218 Litros;Congelador Electrolux  Vertical 218 Litros;Congelador Electrolux  Vertical 218 Litros;5;5002;2738000;3833200
