;nom corto ;nom largo ;detalle;fam;clase;;;
11833;COCINA A GAS JAM ESTANDAR 4H;COCINA A GAS JAM. MOD ESTANDAR 4H BLANCO;COCINA A GAS JAM. MOD ESTANDAR 4H BLANCO;15;15006;440000;616000;COCINA A GAS JAM ESTANDAR 4H
5446;SPLIT  JAM 48.000 BTU ;AIRE ACONDICIONADOR JAM 48.000 BTU JC-48ZHRA F/C 380V/50HZ R410A;AIRE ACONDICIONADOR JAM 48.000 BTU JC-48ZHRA F/C 380V/50HZ R410A;25;25004;7900000;11060000;SPLIT  JAM 48.000 BTU 
5447;LICUADORA  OSTER  1,5L ROJO;LICUADORA  OSTER  15LTS BLSTMG-RD0-051 DE 8 VELOC. 450 W COLOR ROJO;LICUADORA  OSTER  15LTS BLSTMG-RD0-051 DE 8 VELOC. 450 W COLOR ROJO;1;1003;382000;5345000;LICUADORA  OSTER  1,5L ROJO
11834;COCINA A GAS JAM ESTANDAR 4H;COCINA A GAS JAM ESTANDAR NEGRA 4H;COCINA A GAS JAM ESTANDAR NEGRA 4H;15;15006;480000;672000;COCINA A GAS JAM ESTANDAR 4H
5918;GABINETE POLITORNO MAIA ;GABINETE POLITORNO MAIA 3 CAJONES 2487 TURQUESA;GABINETE POLITORNO MAIA 3 CAJONES 2487 TURQUESA;2;2005;350000;490000;GABINETE POLITORNO MAIA 
11835;COCINA A GAS JAM LUXUS 4H;COCINA A GAS JAM MOD LUXUS TITANIUM GRIS 4 H;COCINA A GAS JAM MOD LUXUS TITANIUM GRIS 4 H;15;15006;575000;805000;COCINA A GAS JAM LUXUS 4H
5931;RACK POLITORNO OTTAWA;RACK POLITORNO OTTAWA PARA TV DE 55 160527 TABACO;RACK POLITORNO OTTAWA PARA TV DE 55 160527 TABACO;2;2003;635000;889000;RACK POLITORNO OTTAWA
5934;GABINETE POLITORNO SINGOLARE ;GABINETE POLITORNO SINGOLARE 2 PTAS 4 CAJONES 1050MM 160465 BLANCO/CIRUELA NEGRA;GABINETE POLITORNO SINGOLARE 2 PTAS 4 CAJONES 1050MM 160465 BLANCO/CIRUELA NEGRA;2;2005;810000;1134000;GABINETE POLITORNO SINGOLARE 
5956;LICUADORA OSTER XPERT 2L;LICUADORA OSTER XPERT BLSTVB-G00-051 VASO DE VIDRIO 2L 8TAZAS;LICUADORA OSTER XPERT BLSTVB-G00-051 VASO DE VIDRIO 2L 8TAZAS;1;1003;1714000;23991000;LICUADORA OSTER XPERT 2L
6068;HELADERA JAM SILVER F/S2P 320L;HELADERA JAM SILVER F/S JAMS-226S 2P. 320LTS;HELADERA JAM SILVER F/S JAMS-226S 2P. 320LTS;5;5001;2650000;3710000;HELADERA JAM SILVER F/S2P 320L
