;nom corto ;nom largo ;detalle;fam;clase;;
9926;Lavadora A Paleta Jam Mod. 56Rb;Lavadora A Paleta Jam Mod. 56Rb;Lavadora A Paleta Jam Mod. 56Rb;13;13001;580000;812000
9960;Heladera Jam Blanca F H  Jamd 273F 2P.  300Lts;Heladera Jam Blanca F/H  Jamd-273F 2P.  300Lts;Heladera Jam Blanca F/H  Jamd-273F 2P.  300Lts;5;5001;1620000;2268000
9990;Bebedero Jam De Pie  Myl1675S W Agua F C Cap:20Lts;Bebedero Jam De Pie  Myl1675S-W Agua F/C Cap:20Lts;Bebedero Jam De Pie  Myl1675S-W Agua F/C Cap:20Lts;5;5003;850000;1190000
11902;Cocina Jam Eva Top Glass 4Hb;Cocina A Gas Jam Eva Top Glass 4Hb Negro Con Luz En El Horno;Cocina A Gas Jam Eva Top Glass 4Hb Negro Con Luz En El Horno;15;15006;990000;1386000
3027;Comoda Politorno 5Caj 2169;Comoda Politorno 5 Cajones 2169 Tabaco;Comoda Politorno 5 Cajones 2169 Tabaco Color Disponible Tabaco - Blanco - Rosa ;2;2002;450000;630000
10225;Licuadora Oster Xpert Alto Desemp. Vaso Tritan Blstvb P00 051;Licuadora Oster Xpert Alto Desemp. Vaso Tritan Blstvb-P00-051;Licuadora Oster Xpert Alto Desemp. Vaso Tritan Blstvb-P00-051;1;1003;1677000;23470000
10228;Cocina Vitroceramica Jam 2 Quemadores Donna 3000Vc;Cocina Vitroceramica Jam 2 Quemadores Donna 3000Vc;Cocina Vitroceramica Jam 2 Quemadores Donna 3000Vc;15;15004;370000;518000
10229;Cocina Vitroceramica Jam 1 Quemador Simplex 2000Vc;Cocina Vitroceramica Jam 1 Quemador Simplex 2000Vc;Cocina Vitroceramica Jam 1 Quemador Simplex 2000Vc;15;15004;180000;252000
10289;Mueble Politorno Gabinete P  Horno De 45Lts Micro Toledo 190654 Blanco;Mueble Politorno Gabinete P/ Horno De 45Lts Micro Toledo 190654 Blanco;Mueble Politorno Gabinete P/ Horno De 45Lts Micro Toledo 190654 Blanco;2;2005;330000;462000
10450;Hervidora Jam De Vidrio 1.7 Lt Mod. Mate 3000;Hervidora Jam De Vidrio 1.7 Lt Mod. Mate 3000;Hervidora Jam De Vidrio 1.7 Lt Mod. Mate 3000;1;1011;130000;182000
